candidate,op,tier,a,b,result,operand_digit_tier_a,operand_digit_tier_b,result_digit_tier,active_columns,carry_count,borrow_count,borrow_chain_length,operand_closeness,c_over_d_ratio
C12,sub,3,782,135,647,3,3,3,3,,1,1,0.1726,4.7926
C12,add,3,563,869,1432,3,3,4,3,3,,,0.6479,0.6479
C12,add,3,688,807,1495,3,3,4,3,2,,,0.8525,0.8525
C12,sub,2,68,36,32,2,2,2,2,,0,0,0.5294,0.8889
C12,add,3,667,373,1040,3,3,4,3,3,,,0.5592,1.7882
C12,add,3,811,625,1436,3,3,4,3,1,,,0.7707,1.2976
C12,sub,2,81,20,61,2,2,2,2,,0,0,0.2469,3.05
C12,add,3,327,823,1150,3,3,4,3,2,,,0.3973,0.3973
C12,sub,3,944,879,65,3,3,2,3,,2,2,0.9311,0.0739
C12,sub,3,537,510,27,3,3,2,3,,0,0,0.9497,0.0529
C12,sub,4,9098,4443,4655,4,4,4,4,,1,1,0.4883,1.0477
C12,add,3,848,234,1082,3,3,4,3,2,,,0.2759,3.6239
C12,add,4,3784,1486,5270,4,4,4,4,3,,,0.3927,2.5464
C12,add,3,722,180,902,3,3,3,3,1,,,0.2493,4.0111
C12,sub,3,479,357,122,3,3,3,3,,0,0,0.7453,0.3417
C12,add,4,5195,2062,7257,4,4,4,4,1,,,0.3969,2.5194
C12,sub,4,3228,2888,340,4,4,3,4,,2,2,0.8947,0.1177
C12,add,3,967,956,1923,3,3,4,3,3,,,0.9886,1.0115
C12,sub,3,599,254,345,3,3,3,3,,0,0,0.424,1.3583
C12,sub,4,9627,4718,4909,4,4,4,4,,2,2,0.4901,1.0405
C12,add,2,88,85,173,2,2,3,2,2,,,0.9659,1.0353
C12,add,4,5034,4269,9303,4,4,4,4,2,,,0.848,1.1792
C12,add,3,261,256,517,3,3,3,3,1,,,0.9808,1.0195
C12,add,4,1119,6046,7165,4,4,4,4,1,,,0.1851,0.1851
C12,add,2,37,74,111,2,2,3,2,2,,,0.5,0.5
C12,sub,3,154,130,24,3,3,2,3,,0,0,0.8442,0.1846
C12,add,4,3568,3013,6581,4,4,4,4,1,,,0.8445,1.1842
C12,add,3,772,141,913,3,3,3,3,1,,,0.1826,5.4752
C12,sub,3,751,488,263,3,3,3,3,,2,2,0.6498,0.5389
C12,sub,3,339,149,190,3,3,3,3,,1,1,0.4395,1.2752
C12,add,3,760,589,1349,3,3,4,3,2,,,0.775,1.2903
C12,add,3,165,225,390,3,3,3,3,1,,,0.7333,0.7333
C12,add,2,24,29,53,2,2,2,2,1,,,0.8276,0.8276
C12,sub,4,4921,1475,3446,4,4,4,4,,2,2,0.2997,2.3363
C12,add,2,11,14,25,2,2,2,2,0,,,0.7857,0.7857
C12,add,2,28,53,81,2,2,2,2,1,,,0.5283,0.5283
C12,sub,4,8573,2483,6090,4,4,4,4,,1,1,0.2896,2.4527
C12,sub,3,765,594,171,3,3,3,3,,1,1,0.7765,0.2879
C12,add,4,5334,1661,6995,4,4,4,4,0,,,0.3114,3.2113
C12,sub,4,9041,2449,6592,4,4,4,4,,3,3,0.2709,2.6917
C12,add,4,7131,1808,8939,4,4,4,4,0,,,0.2535,3.9441
C12,add,3,614,346,960,3,3,3,3,1,,,0.5635,1.7746
C12,sub,3,661,559,102,3,3,3,3,,1,1,0.8457,0.1825
C12,sub,4,9651,8990,661,4,4,3,4,,2,2,0.9315,0.0735
C12,add,2,90,45,135,2,2,3,2,1,,,0.5,2.0
C12,add,3,423,807,1230,3,3,4,3,2,,,0.5242,0.5242
C12,sub,2,89,59,30,2,2,2,2,,0,0,0.6629,0.5085
C12,sub,2,45,29,16,2,2,2,2,,1,1,0.6444,0.5517
C12,sub,4,7080,2095,4985,4,4,4,4,,3,3,0.2959,2.3795
