candidate,a_value,b_value,product,d_value,quotient,product_digit_tier,a_decade,nonzero_digit_count_a,factor_ratio
C13,36,6,216,6,36,3,3,2,6.0
C13,20,5,100,5,20,3,2,1,4.0
C13,71,2,142,2,71,3,7,2,35.5
C13,39,4,156,4,39,3,3,2,9.75
C13,76,2,152,2,76,3,7,2,38.0
C13,79,9,711,9,79,3,7,2,8.7778
C13,44,8,352,8,44,3,4,2,5.5
C13,28,4,112,4,28,3,2,2,7.0
C13,26,4,104,4,26,3,2,2,6.5
C13,68,5,340,5,68,3,6,2,13.6
C13,10,9,90,9,10,2,1,1,1.1111
C13,63,3,189,3,63,3,6,2,21.0
C13,30,9,270,9,30,3,3,1,3.3333
C13,28,2,56,2,28,2,2,2,14.0
C13,67,7,469,7,67,3,6,2,9.5714
C13,49,9,441,9,49,3,4,2,5.4444
C13,85,8,680,8,85,3,8,2,10.625
C13,89,4,356,4,89,3,8,2,22.25
C13,16,8,128,8,16,3,1,2,2.0
C13,89,9,801,9,89,3,8,2,9.8889
C13,91,3,273,3,91,3,9,2,30.3333
C13,67,8,536,8,67,3,6,2,8.375
C13,22,8,176,8,22,3,2,2,2.75
C13,35,2,70,2,35,2,3,2,17.5
C13,67,6,402,6,67,3,6,2,11.1667
C13,78,3,234,3,78,3,7,2,26.0
C13,45,6,270,6,45,3,4,2,7.5
C13,45,2,90,2,45,2,4,2,22.5
C13,25,5,125,5,25,3,2,2,5.0
C13,82,6,492,6,82,3,8,2,13.6667
C13,14,6,84,6,14,2,1,2,2.3333
C13,33,6,198,6,33,3,3,2,5.5
C13,19,5,95,5,19,2,1,2,3.8
C13,62,9,558,9,62,3,6,2,6.8889
C13,67,6,402,6,67,3,6,2,11.1667
C13,24,8,192,8,24,3,2,2,3.0
C13,45,6,270,6,45,3,4,2,7.5
C13,73,4,292,4,73,3,7,2,18.25
C13,70,9,630,9,70,3,7,1,7.7778
C13,76,8,608,8,76,3,7,2,9.5
C13,15,5,75,5,15,2,1,2,3.0
C13,42,2,84,2,42,2,4,2,21.0
C13,15,3,45,3,15,2,1,2,5.0
C13,17,3,51,3,17,2,1,2,5.6667
C13,52,6,312,6,52,3,5,2,8.6667
C13,54,9,486,9,54,3,5,2,6.0
C13,58,8,464,8,58,3,5,2,7.25
C13,29,9,261,9,29,3,2,2,3.2222
C13,83,6,498,6,83,3,8,2,13.8333
C13,35,9,315,9,35,3,3,2,3.8889
C13,35,8,280,8,35,3,3,2,4.375
C13,20,3,60,3,20,2,2,1,6.6667
C13,23,6,138,6,23,3,2,2,3.8333
C13,96,4,384,4,96,3,9,2,24.0
C13,95,5,475,5,95,3,9,2,19.0
C13,69,3,207,3,69,3,6,2,23.0
C13,74,7,518,7,74,3,7,2,10.5714
C13,98,9,882,9,98,3,9,2,10.8889
C13,91,6,546,6,91,3,9,2,15.1667
C13,21,7,147,7,21,3,2,2,3.0
C13,94,2,188,2,94,3,9,2,47.0
C13,33,7,231,7,33,3,3,2,4.7143
C13,97,2,194,2,97,3,9,2,48.5
C13,57,7,399,7,57,3,5,2,8.1429
C13,65,8,520,8,65,3,6,2,8.125
C13,15,5,75,5,15,2,1,2,3.0
C13,89,2,178,2,89,3,8,2,44.5
C13,43,9,387,9,43,3,4,2,4.7778
C13,14,2,28,2,14,2,1,2,7.0
C13,52,7,364,7,52,3,5,2,7.4286
C13,21,5,105,5,21,3,2,2,4.2
C13,15,8,120,8,15,3,1,2,1.875
C13,24,7,168,7,24,3,2,2,3.4286
C13,12,7,84,7,12,2,1,2,1.7143
C13,23,3,69,3,23,2,2,2,7.6667
C13,71,5,355,5,71,3,7,2,14.2
C13,84,2,168,2,84,3,8,2,42.0
C13,74,3,222,3,74,3,7,2,24.6667
C13,58,3,174,3,58,3,5,2,19.3333
C13,55,9,495,9,55,3,5,2,6.1111
C13,39,4,156,4,39,3,3,2,9.75
C13,16,4,64,4,16,2,1,2,4.0
C13,53,5,265,5,53,3,5,2,10.6
C13,12,3,36,3,12,2,1,2,4.0
C13,39,8,312,8,39,3,3,2,4.875
C13,83,8,664,8,83,3,8,2,10.375
C13,24,5,120,5,24,3,2,2,4.8
C13,90,5,450,5,90,3,9,1,18.0
C13,12,3,36,3,12,2,1,2,4.0
C13,77,2,154,2,77,3,7,2,38.5
C13,75,6,450,6,75,3,7,2,12.5
C13,24,7,168,7,24,3,2,2,3.4286
C13,67,7,469,7,67,3,6,2,9.5714
C13,81,6,486,6,81,3,8,2,13.5
C13,24,8,192,8,24,3,2,2,3.0
C13,29,5,145,5,29,3,2,2,5.8
C13,22,7,154,7,22,3,2,2,3.1429
C13,73,9,657,9,73,3,7,2,8.1111
C13,96,7,672,7,96,3,9,2,13.7143
C13,11,5,55,5,11,2,1,2,2.2
C13,28,9,252,9,28,3,2,2,3.1111
C13,63,6,378,6,63,3,6,2,10.5
C13,14,2,28,2,14,2,1,2,7.0
C13,69,5,345,5,69,3,6,2,13.8
C13,55,6,330,6,55,3,5,2,9.1667
C13,84,5,420,5,84,3,8,2,16.8
C13,33,7,231,7,33,3,3,2,4.7143
C13,22,2,44,2,22,2,2,2,11.0
C13,40,4,160,4,40,3,4,1,10.0
C13,88,8,704,8,88,3,8,2,11.0
C13,35,4,140,4,35,3,3,2,8.75
C13,92,7,644,7,92,3,9,2,13.1429
C13,63,8,504,8,63,3,6,2,7.875
C13,33,6,198,6,33,3,3,2,5.5
C13,65,3,195,3,65,3,6,2,21.6667
C13,35,2,70,2,35,2,3,2,17.5
C13,58,3,174,3,58,3,5,2,19.3333
C13,45,7,315,7,45,3,4,2,6.4286
C13,25,7,175,7,25,3,2,2,3.5714
C13,56,5,280,5,56,3,5,2,11.2
C13,94,8,752,8,94,3,9,2,11.75
C13,36,9,324,9,36,3,3,2,4.0
C13,65,2,130,2,65,3,6,2,32.5
C13,26,3,78,3,26,2,2,2,8.6667
C13,95,8,760,8,95,3,9,2,11.875
C13,55,4,220,4,55,3,5,2,13.75
C13,82,6,492,6,82,3,8,2,13.6667
C13,76,8,608,8,76,3,7,2,9.5
C13,27,9,243,9,27,3,2,2,3.0
C13,75,9,675,9,75,3,7,2,8.3333
C13,80,3,240,3,80,3,8,1,26.6667
C13,34,5,170,5,34,3,3,2,6.8
C13,64,9,576,9,64,3,6,2,7.1111
C13,51,5,255,5,51,3,5,2,10.2
C13,13,3,39,3,13,2,1,2,4.3333
C13,54,4,216,4,54,3,5,2,13.5
C13,79,9,711,9,79,3,7,2,8.7778
C13,59,6,354,6,59,3,5,2,9.8333
C13,49,6,294,6,49,3,4,2,8.1667
C13,57,2,114,2,57,3,5,2,28.5
C13,38,4,152,4,38,3,3,2,9.5
C13,94,7,658,7,94,3,9,2,13.4286
C13,62,9,558,9,62,3,6,2,6.8889
C13,83,8,664,8,83,3,8,2,10.375
C13,17,2,34,2,17,2,1,2,8.5
C13,38,7,266,7,38,3,3,2,5.4286
C13,23,4,92,4,23,2,2,2,5.75
C13,15,9,135,9,15,3,1,2,1.6667
C13,76,5,380,5,76,3,7,2,15.2
C13,66,9,594,9,66,3,6,2,7.3333
C13,64,3,192,3,64,3,6,2,21.3333
C13,49,5,245,5,49,3,4,2,9.8
C13,91,2,182,2,91,3,9,2,45.5
C13,47,2,94,2,47,2,4,2,23.5
C13,92,5,460,5,92,3,9,2,18.4
C13,42,5,210,5,42,3,4,2,8.4
C13,93,4,372,4,93,3,9,2,23.25
C13,70,2,140,2,70,3,7,1,35.0
C13,87,5,435,5,87,3,8,2,17.4
C13,44,9,396,9,44,3,4,2,4.8889
C13,63,3,189,3,63,3,6,2,21.0
C13,91,9,819,9,91,3,9,2,10.1111
C13,86,5,430,5,86,3,8,2,17.2
C13,73,7,511,7,73,3,7,2,10.4286
C13,64,4,256,4,64,3,6,2,16.0
C13,16,2,32,2,16,2,1,2,8.0
C13,84,9,756,9,84,3,8,2,9.3333
C13,19,4,76,4,19,2,1,2,4.75
C13,36,7,252,7,36,3,3,2,5.1429
C13,70,4,280,4,70,3,7,1,17.5
C13,24,6,144,6,24,3,2,2,4.0
C13,98,6,588,6,98,3,9,2,16.3333
C13,35,4,140,4,35,3,3,2,8.75
C13,33,8,264,8,33,3,3,2,4.125
C13,16,8,128,8,16,3,1,2,2.0
C13,54,9,486,9,54,3,5,2,6.0
C13,61,6,366,6,61,3,6,2,10.1667
C13,39,6,234,6,39,3,3,2,6.5
C13,34,5,170,5,34,3,3,2,6.8
C13,32,4,128,4,32,3,3,2,8.0
C13,89,7,623,7,89,3,8,2,12.7143
C13,52,6,312,6,52,3,5,2,8.6667
C13,86,4,344,4,86,3,8,2,21.5
C13,10,3,30,3,10,2,1,1,3.3333
C13,21,4,84,4,21,2,2,2,5.25
C13,16,6,96,6,16,2,1,2,2.6667
C13,55,9,495,9,55,3,5,2,6.1111
C13,52,7,364,7,52,3,5,2,7.4286
C13,84,8,672,8,84,3,8,2,10.5
